--- --- ---
Loading checkpoint shards: 100%|█████████████████████████████████████████████████████████| 3/3 [00:12<00:00,  4.17s/it]
Map: 100%|████████████████████████████████████████████████████████████████| 4387/4387 [00:01<00:00, 3969.01 examples/s]
Map: 100%|██████████████████████████████████████████████████████████████████| 488/488 [00:00<00:00, 3545.64 examples/s]
{'loss': 1.4435, 'grad_norm': 0.6890142560005188, 'learning_rate': 0.0002, 'epoch': 0.009115770282588878}
{'loss': 0.4895, 'grad_norm': 0.32956865429878235, 'learning_rate': 0.0002, 'epoch': 0.018231540565177756}
{'loss': 0.408, 'grad_norm': 0.31574422121047974, 'learning_rate': 0.0002, 'epoch': 0.027347310847766638}
{'loss': 0.3746, 'grad_norm': 0.27386581897735596, 'learning_rate': 0.0002, 'epoch': 0.03646308113035551}
{'loss': 0.3843, 'grad_norm': 0.2524127662181854, 'learning_rate': 0.0002, 'epoch': 0.04557885141294439}
{'loss': 0.3613, 'grad_norm': 0.25618574023246765, 'learning_rate': 0.0002, 'epoch': 0.054694621695533276}
{'loss': 0.345, 'grad_norm': 0.2404167503118515, 'learning_rate': 0.0002, 'epoch': 0.06381039197812215}
{'loss': 0.3686, 'grad_norm': 0.22993822395801544, 'learning_rate': 0.0002, 'epoch': 0.07292616226071102}
{'loss': 0.3567, 'grad_norm': 0.20187926292419434, 'learning_rate': 0.0002, 'epoch': 0.0820419325432999}
{'loss': 0.339, 'grad_norm': 0.22835542261600494, 'learning_rate': 0.0002, 'epoch': 0.09115770282588878}
{'loss': 0.3313, 'grad_norm': 0.268319308757782, 'learning_rate': 0.0002, 'epoch': 0.10027347310847767}
{'loss': 0.2961, 'grad_norm': 0.20424705743789673, 'learning_rate': 0.0002, 'epoch': 0.10938924339106655}
{'loss': 0.3121, 'grad_norm': 0.24785077571868896, 'learning_rate': 0.0002, 'epoch': 0.11850501367365543}
{'loss': 0.282, 'grad_norm': 0.19243574142456055, 'learning_rate': 0.0002, 'epoch': 0.1276207839562443}
{'loss': 0.3065, 'grad_norm': 0.24026386439800262, 'learning_rate': 0.0002, 'epoch': 0.13673655423883319}
{'loss': 0.3336, 'grad_norm': 0.17680396139621735, 'learning_rate': 0.0002, 'epoch': 0.14585232452142205}
{'loss': 0.2907, 'grad_norm': 0.22559306025505066, 'learning_rate': 0.0002, 'epoch': 0.15496809480401094}
{'loss': 0.2857, 'grad_norm': 0.17786575853824615, 'learning_rate': 0.0002, 'epoch': 0.1640838650865998}
{'loss': 0.2409, 'grad_norm': 0.19138270616531372, 'learning_rate': 0.0002, 'epoch': 0.1731996353691887}
